总计待爬取:2832个
[2023-10-02 23:45:26][2686]id->91251,username->期货员
插入数据时发生错误! sql -> insert into deal values('91251','期货员',141280,94076,-121463,-65.90,204928,111.18,0.57,78.92,0);
[2023-10-02 23:45:27][2687]id->90058,username->成长之路
[2023-10-02 23:45:29][2688]id->90532,username->鹰眼
[2023-10-02 23:45:33][2689]id->90720,username->浩东
[2023-10-02 23:45:35][2690]id->89972,username->似曾相识
[2023-10-02 23:45:38][2691]id->89749,username->听海
[2023-10-02 23:45:42][2692]id->89486,username->盈杰二号
[2023-10-02 23:45:44][2693]id->3905,username->如意石二
[2023-10-02 23:45:46][2694]id->91226,username->张征壹号
[2023-10-02 23:45:48][2695]id->4052,username->唉呀！
[2023-10-02 23:45:51][2696]id->91207,username->期货君
[2023-10-02 23:45:54][2697]id->3850,username->破灭
[2023-10-02 23:45:56][2698]id->91154,username->大梨九斤
[2023-10-02 23:46:00][2699]id->89821,username->琪开得胜
[2023-10-02 23:46:04][2700]id->90507,username->如日东升
[2023-10-02 23:46:14][2701]id->3319,username->云天
[2023-10-02 23:46:19][2702]id->91192,username->奇正未央
[2023-10-02 23:46:26][2703]id->90240,username->要我发财
[2023-10-02 23:46:35][2704]id->89606,username->袁梓洋
[2023-10-02 23:46:41][2705]id->91236,username->黄飞鸿
[2023-10-02 23:46:43][2706]id->91348,username->新能者居
[2023-10-02 23:47:14][2707]id->90194,username->沫兮控股
[2023-10-02 23:47:16][2708]id->90233,username->程豆豆
[2023-10-02 23:47:18][2709]id->90981,username->繁花似锦
[2023-10-02 23:47:20][2710]id->91180,username->暨阳一号
[2023-10-02 23:47:22][2711]id->91373,username->资管吕一
[2023-10-02 23:47:22][2712]id->91283,username->春辉景明
[2023-10-02 23:47:24][2713]id->89522,username->口香糖
[2023-10-02 23:47:26][2714]id->91263,username->六叶青莲
[2023-10-02 23:47:28][2715]id->3004,username->老鼠仓一
[2023-10-02 23:47:29][2716]id->90999,username->龙战神
[2023-10-02 23:47:31][2717]id->4267,username->黑白相间
[2023-10-02 23:47:33][2718]id->4376,username->诚益五号
[2023-10-02 23:47:36][2719]id->90378,username->飞雨三号
[2023-10-02 23:47:38][2720]id->1273,username->沉默
[2023-10-02 23:47:41][2721]id->91369,username->苏州耀盛
[2023-10-02 23:47:42][2722]id->91047,username->单刀会
[2023-10-02 23:47:44][2723]id->90442,username->致简七号
[2023-10-02 23:47:48][2724]id->91306,username->张征一号
[2023-10-02 23:47:50][2725]id->90415,username->同学会
[2023-10-02 23:47:59][2726]id->1559,username->陆纪桦
[2023-10-02 23:48:11][2727]id->90712,username->恒鑫通
[2023-10-02 23:48:13][2728]id->90380,username->星空本在
[2023-10-02 23:48:16][2729]id->680,username->偷鸡不成
[2023-10-02 23:48:19][2730]id->91325,username->铁矿石
[2023-10-02 23:48:26][2731]id->90755,username->黑色
[2023-10-02 23:48:35][2732]id->90322,username->泓海二号
[2023-10-02 23:48:37][2733]id->89669,username->灰狼二号
[2023-10-02 23:48:41][2734]id->89501,username->生存第一
[2023-10-02 23:48:45][2735]id->91264,username->雪山文浩
[2023-10-02 23:48:47][2736]id->91181,username->豁然
[2023-10-02 23:48:52][2737]id->91362,username->趋势
[2023-10-02 23:48:57][2738]id->89896,username->大信一号
[2023-10-02 23:49:01][2739]id->89419,username->遗忘
[2023-10-02 23:49:10][2740]id->91247,username->夕阳下山
