总计待爬取:2832个
[2023-10-02 23:56:51][2740]id->91247,username->夕阳下山
插入数据时发生错误! sql -> insert into deal values('91247','夕阳下山',32,25221,-224106,-299.86,60734,81.26,0.00,1153.22,0);
[2023-10-02 23:56:53][2741]id->90257,username->飞虎在天
[2023-10-02 23:56:57][2742]id->90840,username->阿海金元
[2023-10-02 23:57:00][2743]id->90939,username->高鹏
[2023-10-02 23:57:04][2744]id->91086,username->时空无住
[2023-10-02 23:57:08][2745]id->91011,username->期开必胜
[2023-10-02 23:57:25][2746]id->90306,username->六年加零
[2023-10-02 23:57:30][2747]id->91200,username->那样芬芳
[2023-10-02 23:58:32][2748]id->90749,username->莲花
[2023-10-02 23:58:57][2749]id->89923,username->流浪者
[2023-10-02 23:59:03][2750]id->91160,username->鸭子二号
[2023-10-02 23:59:08][2751]id->91272,username->利丰一号
[2023-10-02 23:59:11][2752]id->89985,username->天天飞翔
[2023-10-02 23:59:17][2753]id->89469,username->吴丹
[2023-10-02 23:59:19][2754]id->91052,username->力天老孙
[2023-10-02 23:59:22][2755]id->4478,username->博弈一号
[2023-10-02 23:59:25][2756]id->91326,username->期赢天下
[2023-10-02 23:59:34][2757]id->1187,username->清风丽影
[2023-10-02 23:59:35][2758]id->91014,username->索罗斯发
[2023-10-02 23:59:38][2759]id->89220,username->冀南春天
[2023-10-02 23:59:41][2760]id->460,username->张勋
[2023-10-02 23:59:44][2761]id->90251,username->杨剑
[2023-10-02 23:59:47][2762]id->2814,username->刘琪
[2023-10-02 23:59:50][2763]id->91107,username->时空之路
[2023-10-02 23:59:52][2764]id->91194,username->玄铁
[2023-10-02 23:59:54][2765]id->90691,username->实盘寅
[2023-10-02 23:59:56][2766]id->1621,username->利自无为
[2023-10-03 00:00:04][2767]id->2257,username->龙老大
[2023-10-03 00:00:07][2768]id->90841,username->湖南海豚
[2023-10-03 00:00:09][2769]id->90285,username->文远
[2023-10-03 00:00:12][2770]id->89882,username->老范
[2023-10-03 00:00:14][2771]id->90661,username->实盘丑
[2023-10-03 00:00:15][2772]id->91018,username->徐观政
[2023-10-03 00:00:18][2773]id->90601,username->流浪的人
[2023-10-03 00:00:20][2774]id->89034,username->可爱九尾
[2023-10-03 00:00:22][2775]id->89120,username->退一步
[2023-10-03 00:00:25][2776]id->89711,username->持之以恒
[2023-10-03 00:00:28][2777]id->91298,username->老干部
[2023-10-03 00:00:31][2778]id->91188,username->宝龙公馆
[2023-10-03 00:00:34][2779]id->91136,username->展示二
[2023-10-03 00:00:37][2780]id->91304,username->鼎一号
[2023-10-03 00:00:38][2781]id->90923,username->杨朔
[2023-10-03 00:00:40][2782]id->90034,username->雪神
[2023-10-03 00:00:42][2783]id->91058,username->梁军
[2023-10-03 00:00:44][2784]id->91145,username->守正
[2023-10-03 00:00:46][2785]id->91243,username->亏货样板
[2023-10-03 00:00:49][2786]id->90310,username->实盘丙
[2023-10-03 00:00:51][2787]id->90760,username->肖永灿
[2023-10-03 00:00:53][2788]id->91262,username->小小说
[2023-10-03 00:00:55][2789]id->91132,username->刘宗迪
[2023-10-03 00:00:58][2790]id->90797,username->飞翎资产
[2023-10-03 00:01:03][2791]id->3771,username->龙行天下
[2023-10-03 00:01:04][2792]id->91147,username->团团圆圆
[2023-10-03 00:01:08][2793]id->90290,username->逗比
[2023-10-03 00:01:11][2794]id->2169,username->二单元一
[2023-10-03 00:01:12][2795]id->90849,username->千和资管
[2023-10-03 00:01:15][2796]id->3696,username->天声仁语
[2023-10-03 00:01:17][2797]id->91149,username->团团园园
[2023-10-03 00:01:19][2798]id->91307,username->中辉期货
[2023-10-03 00:01:21][2799]id->91275,username->牛魔王
[2023-10-03 00:01:22][2800]id->89066,username->点石点点
[2023-10-03 00:01:24][2801]id->89266,username->林子
[2023-10-03 00:01:26][2802]id->90801,username->演员章
[2023-10-03 00:01:28][2803]id->91357,username->期权激进
[2023-10-03 00:01:31][2804]id->4040,username->猎手
[2023-10-03 00:01:34][2805]id->89308,username->永哥
[2023-10-03 00:01:36][2806]id->91210,username->日月时空
[2023-10-03 00:01:40][2807]id->856,username->张勋二
[2023-10-03 00:01:42][2808]id->3017,username->李端领
[2023-10-03 00:01:45][2809]id->89620,username->常青
[2023-10-03 00:01:47][2810]id->4474,username->茶色清香
[2023-10-03 00:01:51][2811]id->91303,username->一杯清咖
[2023-10-03 00:01:53][2812]id->90830,username->瑞龙慧玲
[2023-10-03 00:01:56][2813]id->3485,username->向日葵
[2023-10-03 00:01:58][2814]id->91178,username->嘉盛房产
[2023-10-03 00:02:00][2815]id->90895,username->回家拿钱
[2023-10-03 00:02:02][2816]id->91093,username->时空之海
[2023-10-03 00:02:05][2817]id->90462,username->起跑线
[2023-10-03 00:02:06][2818]id->3674,username->克鲁斯
[2023-10-03 00:02:08][2819]id->90063,username->达人
[2023-10-03 00:02:14][2820]id->90495,username->震撼
[2023-10-03 00:02:17][2821]id->91259,username->浩源量化
[2023-10-03 00:02:19][2822]id->91170,username->苹果树
[2023-10-03 00:02:22][2823]id->1075,username->够本就行
[2023-10-03 00:02:24][2824]id->91356,username->期权稳健
[2023-10-03 00:02:25][2825]id->91250,username->
[2023-10-03 00:02:27][2826]id->91211,username->
[2023-10-03 00:02:28][2827]id->91217,username->
[2023-10-03 00:02:28][2828]id->91218,username->
[2023-10-03 00:02:29][2829]id->91223,username->
[2023-10-03 00:02:31][2830]id->90620,username->
[2023-10-03 00:02:31][2831]id->90623,username->
